,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,Indicadora
31,Canada,15,8,0.4,8,13645323662,80.07,14,42,99.8,99,100,99.8,99,100,2367048074,382061313,12.7,0.011328543,8800,11,7,56.89806865,4.3,4,4.7,3.2,4.9,4.5,5.3,1587,27,1181,1824,4.5,66.21412289,78.47684491,11,1412538212,1977659120,256485635.2,1738664237,1257711417,1147814478,8754351018,199219621.1,1111206178,2080436850,238599682.4,2523744352,4058094841,495085279.4,162726472.1,192748007.6,32970375.36,3049205263,9021472499,1489901451,6235978720,663030946.6,100,12,6,3.9,25.32894737,0,63.26745511,2,9,8,249,570,137,16.5,1.5,131,0.8,21.1,Bien
32,Caribbean small states,66,3.461538462,20.35384615,1,13645323662,58.04538462,110.1538462,414,85.92530103,86.60269576,85.00776836,95.6330756,94.10966231,97.74308261,2367048074,382061313,7.746153846,0.21471454,470,60,99,65,16.76787416,14.76941176,18.68646973,12.46045078,19.56495945,17.25122343,21.75620251,126873.0704,110,76981.65327,169182.593,5.953846154,67.22223333,61.6667,343,1412538212,1977659120,256485635.2,1738664237,1257711417,1147814478,8754351018,199219621.1,1111206178,2080436850,238599682.4,2523744352,4058094841,495085279.4,162726472.1,192748007.6,32970375.36,3049205263,9021472499,1489901451,6235978720,663030946.6,7.261538462,12.84615385,7.153846154,22.78461538,18.18181818,0,75,7.076923077,5.461538462,35.61538462,173.5769231,790.5384615,63.69230769,63.53846154,22.57692308,180.7692308,2.74,36.48461538,Mal
33,Central African Republic,14,7,204,0,52930000,36.26,185,3,21.8,7.2,43.6,68.5,54.4,89.6,2196000,0,19.8,3.668342681,27,13,882,30,91.5,84,98.5,42.6,130.1,123.2,136.6,14981,1400,6993,21029,53.5,52.22226667,86.6668,24,11883000,2045000,1249000,0,0,0,0,0,920000,44085000,947000,12803000,46130000,2196000,0,6800000,0,0,6800000,0,12803000,0,0,15,5,0,20.54715995,3.3,40,10,6,56,200,660,98,75,22,483,4.8,73.3,Mal
35,Chad,13,7,150.4,0,176550000,38.22,183,1,12.1,6.5,31.4,50.8,44.8,71.8,53119000,0,28.4,5.518801589,18,14,856,50,85,78,91.8,39.3,138.7,131.4,145.6,51335,5400,23789,82728,3.8,65.5556,86.6668,6,45254000,51548000,16102000,0,0,7000,0,5000,80155000,125002000,16447000,125409000,176550000,32549000,601820000,0,20565000,601827000,0,20570000,727236000,0,0,13,6,31.3,14.89361702,2.4,60,9,6,54,221,743,67,44,60,732,4,63.5,Mal
36,Chile,33,8,0.7,6,13645323662,71.49,48,23,99.1,90.9,100,99,93.3,99.7,2367048074,382061313,4,0.03914812,2600,20,22,90,7,6.4,7.6,4.9,8.1,7.4,8.7,1636,52,1144,1896,2.6,95.55556667,96.6667,72,1412538212,1977659120,256485635.2,1738664237,1257711417,1147814478,8754351018,199219621.1,1111206178,2080436850,238599682.4,2523744352,4058094841,495085279.4,162726472.1,192748007.6,32970375.36,3049205263,9021472499,1489901451,6235978720,663030946.6,11.2,13,6,22.3,15.83333333,45.1,100,7,4,7,152,480,30,28.5,5.5,291,3.2,28.9,Bien
37,China,89,10,0.7,6,13163127000,62.93,84,131,76.5,63.7,86.6,95.5,93,97.5,5204436000,3237433000,15.80086321,0.042300762,2400,74,27,70,9.2,8.6,9.8,5.5,10.7,10,11.3,156450,4400,93435,181574,8.70189086,70,80,568,4655842000,824464000,1009609000,0,176246000,1021416000,1560535000,63736000,977069000,1269677000,461946000,5632911000,2094141000,1471555000,569690000,0,255466000,1591106000,1560535000,495448000,11270863000,4046846000,0,22,4,15.82828818,23.62284556,89.5,60,11,4,9,244.3,452.8,143.2,19.5,31.4,261,1.7,67.8,Bien
38,Colombia,119,9,7.5,7,1675558000,70.43,54,61,81.1,67.9,85.2,91.4,73.8,96.8,3959705000,1460695000,18.6,0.125686759,800,56,64,90,13.6,12,15.2,8.5,15.9,14,17.6,10183,480,6356,11934,28.6,84.44443333,83.3333,245,283529000,184940000,160278000,631555000,1999773000,442042000,198720000,110924000,1394268000,552197000,227875000,1677797000,737137000,388153000,2172000,0,160000,1075769000,938421000,2110857000,8363187000,5609621000,88.7,10,6,22.5,19.87951807,0,80,8,12,11,73,1288,102,16,11,239,1.7,69.7,Bien
39,Comoros,10,7,118.2,2,5270000,48.22,154,8,35.8,30.9,48.3,90.1,89.1,92.6,530000,0,0,1.517437126,66,5,335,20,55.1,50.1,60,34,73.5,67.8,79,1433,88,889,1897,184.4,42.22216667,56.6665,7,520000,5270000,456000,0,0,0,0,0,1326000,0,74000,1846000,5270000,530000,0,0,0,0,0,0,1846000,0,0,10,4,32.1,3.03030303,7.4,50,8,6,33,108,506,120,30,15,100,2.591785792,216.5,Mal
40,"Congo, Dem. Rep.",37,7,29.3,0,341557000,38.14,184,93,28.7,28.7,28.5,52.4,31.2,81.1,85924000,0,12.6,4.090656188,24,35,693,50,74.5,68,80.5,30.1,98.3,91.3,104.9,233339,22000,94252,304558,14.5,57.77776667,93.3333,113,261331000,284835000,62105000,0,0,0,0,0,101442000,55730000,23819000,362773000,340565000,85924000,6620000,992000,0,6620000,992000,0,369393000,0,0,10,7,27.5,8.943089431,0.3,30,6,6,52,150,610,56,44,11,346,2.591785792,54.6,Mal
41,"Congo, Rep.",5,7,52.3,2,148735000,41.88,176,55,15,5.6,20,76.5,40,95.8,20004000,0,31.3,2.223974994,45,16,442,30,33.2,29.6,36.6,18,45,40.7,49,5426,740,2948,7269,24.7,50.00003333,80.0001,45,140860000,117182000,7855000,0,10438000,348000,0,0,6904000,30010000,1305000,147764000,147192000,9160000,14574000,1543000,406000,14922000,1543000,10844000,162686000,0,0,12,6,0,7.352941176,10.9,40,11,6,50,164,560,135,55,53,602,3.3,56,Mal
